FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster
2630.0,9146.0,0.0,1021.0,578.0,942,859,1597,2802.0,5070.0,548.0,846.0,15.7,0
25767.0,53403.0,8038.0,17686.0,334.0,189,179,120,35282.0,53046.0,21286.0,41383.0,15.8,0
21528.0,33095.0,1783.0,2336.0,131.0,207,207,124,28057.0,39971.0,26207.0,29130.0,15.9,0
9671.0,22482.0,1838.0,3244.0,88.0,88,245,97,18264.0,25682.0,7992.0,15890.0,15.9,0
61658.0,121521.0,10501.0,23468.0,288.0,256,346,215,52140.0,75253.0,19463.0,48055.0,16.0,0
7467.0,23149.0,959.0,2957.0,1616.0,2349,2316,3488,7384.0,11519.0,1112.0,3578.0,16.1,0
4083.0,22511.0,1146.0,4072.0,1389.0,2354,2041,3432,6644.0,11289.0,661.0,1641.0,16.2,0
9985.0,14711.0,2377.0,5939.0,1825.0,2187,3515,4769,11471.0,16039.0,1468.0,2460.0,16.3,0
4305.0,7313.0,1706.0,3007.0,2749.0,3935,3086,4274,7733.0,10499.0,618.0,1626.0,16.4,0
28137.0,57637.0,14712.0,34893.0,408.0,707,1589,2295,8986.0,11059.0,2912.0,3480.0,16.4,0
2373.0,13161.0,436.0,1627.0,1151.0,2999,1557,4366,3879.0,10059.0,1190.0,1710.0,16.4,0
2616.0,12072.0,254.0,1230.0,907.0,2698,1167,4057,2686.0,9344.0,223.0,766.0,16.4,0
28188.0,69364.0,7228.0,14448.0,403.0,412,0,0,34316.0,48576.0,26045.0,42216.0,16.4,-1
17756.0,45382.0,1586.0,5145.0,207.0,139,231,187,14775.0,19833.0,4413.0,12195.0,16.4,0
43415.0,77649.0,11734.0,23095.0,439.0,260,316,243,38693.0,53498.0,21926.0,34139.0,16.4,0
21481.0,29664.0,1671.0,4526.0,2588.0,3654,3222,4457,9390.0,12374.0,2137.0,2582.0,16.5,0
83611.0,167915.0,1217.0,2953.0,542.0,394,100,49,89635.0,120144.0,48014.0,54373.0,16.5,0
1825.0,8255.0,784.0,3779.0,171.0,529,327,1238,828.0,4197.0,408.0,1002.0,16.5,0
1960.0,8746.0,499.0,4247.0,628.0,1218,1217,2293,3382.0,7183.0,162.0,546.0,16.5,0
6785.0,19827.0,0.0,2776.0,2437.0,3450,3879,5745,12711.0,18645.0,1910.0,3676.0,16.5,0
7095.0,10654.0,2456.0,3849.0,1402.0,1802,2097,2884,6676.0,9624.0,1597.0,1646.0,16.6,0
23026.0,46046.0,8349.0,19582.0,451.0,244,0,0,35089.0,49437.0,19313.0,35683.0,16.7,-1
4092.0,14677.0,374.0,1687.0,1040.0,1314,1641,2146,5065.0,7453.0,670.0,1241.0,16.7,0
13804.0,10094.0,147.0,3698.0,2594.0,3163,2778,4285,8052.0,11861.0,728.0,1838.0,16.9,0
1267.0,8011.0,49.0,1436.0,846.0,2668,1296,4580,4095.0,14191.0,1497.0,2838.0,16.9,0
