FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,tSNE-1,tSNE-2
4577.0,12678.0,161.0,1423.0,118,97,45.0,0,3284.0,4318.0,592.0,1043.0,17.3,-1,92.0714,29.31345
610930.0,948036.0,153459.0,231461.0,1465,1330,474.0,283,252135.0,247798.0,160694.0,154107.0,17.3,1,83.23887,24.409895
52827.0,88393.0,9562.0,17716.0,491,255,163.0,92,30878.0,32499.0,17311.0,23593.0,17.3,1,55.145977,3.825498
6720.0,8680.0,938.0,4420.0,2567,3609,3087.0,4046,7373.0,9702.0,1786.0,1344.0,17.3,1,55.761456,2.461302
47000.0,83514.0,3687.0,7209.0,412,307,0.0,79,20508.0,21260.0,13115.0,22727.0,17.4,1,56.49928,0.78439546
2638.0,8136.0,32.0,2440.0,1003,2515,1183.0,3421,3454.0,7958.0,2032.0,2317.0,17.4,1,56.768055,0.21089685
1211.0,7737.0,430.0,2166.0,870,2474,1261.0,3873,2472.0,7453.0,0.0,380.0,17.4,1,53.766556,8.183905
33023.0,49173.0,8133.0,12705.0,281,225,42.0,105,37764.0,37320.0,31195.0,30586.0,17.4,1,95.43048,39.315212
7895.0,16583.0,1889.0,3939.0,4266,4702,5449.0,6149,13126.0,14837.0,1602.0,2676.0,17.4,1,56.826153,0.090942085
7513.0,19700.0,1865.0,3343.0,3529,4146,4406.0,5209,11661.0,14203.0,939.0,3174.0,17.5,1,56.831833,0.08268962
37592.0,51610.0,5733.0,9394.0,302,220,0.0,32,26806.0,27513.0,16662.0,25269.0,17.5,1,83.19969,24.714905
1867.0,9848.0,0.0,2219.0,146,95,162.0,34,4163.0,5956.0,1056.0,1874.0,17.5,1,55.70055,2.6294737
4236.0,12660.0,0.0,439.0,174,112,269.0,168,2840.0,4701.0,7570.0,11372.0,17.5,1,53.80107,7.905531
415216.0,642749.0,37817.0,59312.0,1182,1259,295.0,127,548335.0,499143.0,191565.0,176671.0,17.5,1,68.00416,13.001077
6858.0,24396.0,44.0,1429.0,5263,6661,6776.0,8332,19635.0,24601.0,3165.0,5308.0,17.7,1,54.26128,5.6418204
44907.0,73958.0,14868.0,23586.0,399,303,203.0,96,69439.0,71728.0,56935.0,56868.0,17.8,1,53.782143,8.0448475
16527.0,21314.0,3759.0,5128.0,4499,5177,6133.0,6778,16133.0,17173.0,3148.0,3535.0,17.8,1,53.668114,9.915129
2854.0,11126.0,1951.0,5643.0,1453,2033,2404.0,3260,5696.0,7527.0,1384.0,1869.0,17.9,1,85.80933,33.966347
10733.0,24680.0,1663.0,2306.0,2449,2616,3785.0,4217,10328.0,11079.0,1971.0,3710.0,17.9,1,70.95689,18.585243
362964.0,509314.0,244546.0,378313.0,10226,11335,14406.0,15413,42005.0,44777.0,11002.0,9635.0,17.9,1,82.86121,24.928112
51829.0,89896.0,5012.0,11125.0,86,99,0.0,27,63462.0,63814.0,45960.0,51873.0,17.9,1,53.725372,8.809438
7402.0,13510.0,1206.0,2692.0,3143,3641,4650.0,5420,12818.0,13810.0,3219.0,3541.0,17.9,1,73.04254,1.206741
35462.0,60228.0,12481.0,21986.0,260,159,2.0,57,36061.0,35637.0,25400.0,30442.0,17.9,1,53.781044,7.9945717
3350.0,9192.0,3100.0,6658.0,258,194,80.0,3,4724.0,6288.0,1357.0,2006.0,18.0,1,55.607548,3.2354298
7607.0,22257.0,2427.0,10756.0,245,140,125.0,30,2923.0,5133.0,16108.0,32904.0,18.0,1,53.67333,9.788892
1210640.0,1518960.0,1148760.0,1643500.0,1579,1681,320.0,468,411011.0,357845.0,189192.0,163382.0,18.0,1,53.64639,10.792281
3680.0,10003.0,1932.0,4747.0,1468,1754,1578.0,1965,5275.0,6112.0,1690.0,2574.0,18.0,1,54.23502,5.743691
4507.0,13008.0,798.0,2275.0,1816,2052,2449.0,2649,6133.0,6906.0,986.0,1794.0,18.0,1,54.086086,6.3943315
42646.0,67223.0,1937.0,4146.0,89,76,0.0,77,48512.0,47864.0,36094.0,46525.0,18.0,1,55.696148,2.7447217
13287.0,17908.0,3508.0,5774.0,1715,2182,3437.0,3745,11526.0,11975.0,1863.0,1954.0,18.0,1,53.647995,11.149434
24366.0,29502.0,4305.0,4549.0,314,176,619.0,192,23626.0,21958.0,19625.0,14841.0,18.2,1,87.08733,39.15449
34996.0,51432.0,48492.0,81506.0,101,40,119.0,198,34127.0,33216.0,29675.0,27128.0,18.2,1,53.923912,7.191934
43207.0,54948.0,3347.0,5348.0,160,170,87.0,116,36052.0,31793.0,28263.0,27550.0,18.3,1,84.64278,34.772446
1981.0,9326.0,1167.0,3285.0,919,1114,1649.0,2122,5148.0,7274.0,1166.0,1920.0,18.4,1,68.124374,13.048353
4984.0,17800.0,1958.0,4542.0,792,1124,1103.0,2045,3426.0,5586.0,1246.0,1870.0,18.4,1,99.023254,-23.064743
8942.0,28185.0,2288.0,4324.0,2228,2503,3498.0,3985,9846.0,11325.0,2476.0,3543.0,18.6,1,88.57041,29.886292
17332.0,30825.0,9983.0,16405.0,279,156,0.0,0,29496.0,29151.0,19574.0,20539.0,18.6,-1,53.653564,10.444192
4072.0,8224.0,34.0,954.0,201,122,77.0,106,14167.0,8769.0,2648.0,1971.0,18.6,1,55.275276,3.53008
