FSC-A,FSC-H,SSC-A,SSC-H,FL1-A,FL1-H,FL2-A,FL2-H,FL3-A,FL3-H,FL4-A,FL4-H,Time,Cluster,UMAP-1,UMAP-2
8788.0,15347.0,2149.0,5038.0,1936,2588,2044,2964,4860.0,5948.0,1211.0,1396.0,16.4,0,-0.4563278,14.317778
25230.0,57850.0,2792.0,4474.0,520,348,0,0,25476.0,34342.0,24397.0,32550.0,16.6,1,14.190849,7.649721
1582.0,7601.0,588.0,2221.0,1870,3489,2566,4938,6721.0,13662.0,1161.0,3136.0,16.7,0,-1.4635403,10.726802
16748.0,44222.0,63625.0,151517.0,320,174,163,57,28594.0,37780.0,18851.0,32666.0,16.7,1,14.339178,7.8128014
5064.0,10982.0,2030.0,3554.0,2302,3007,2890,4162,8584.0,10801.0,1976.0,2031.0,16.7,0,-2.3073425,11.9931755
3812.0,9220.0,1023.0,3617.0,1661,4053,1943,4168,5101.0,11108.0,1359.0,2059.0,16.8,0,-0.7707111,10.868662
6115.0,25645.0,1744.0,6562.0,1120,1567,2609,4083,7646.0,12193.0,378.0,3579.0,16.8,0,-1.2863847,15.657807
9299.0,22398.0,1582.0,5320.0,5157,7140,6206,8862,14762.0,20258.0,3095.0,5421.0,16.8,2,-2.894912,-0.08225169
26200.0,64917.0,7477.0,15628.0,409,314,491,201,29671.0,39306.0,27823.0,34716.0,16.8,1,14.430475,7.1135015
14762.0,35032.0,1984.0,3428.0,325,245,10,17,16841.0,20140.0,14047.0,17852.0,16.9,4,13.138465,10.671255
24736.0,48604.0,1589.0,2674.0,65,102,39,49,15395.0,19591.0,8858.0,17642.0,17.0,1,13.637004,9.919578
5008.0,11576.0,786.0,2383.0,468,1040,736,1705,2127.0,5600.0,1356.0,2110.0,17.0,0,2.8189502,17.938704
33331.0,68038.0,3882.0,6870.0,409,227,450,178,31274.0,40493.0,33153.0,38441.0,17.0,1,14.529623,6.759872
7908.0,27516.0,1522.0,3613.0,30155,40996,30369,41757,20073.0,26928.0,4445.0,7161.0,17.1,2,2.1754339,-3.3811433
1299.0,5164.0,372.0,2198.0,334,1957,740,3036,1890.0,8690.0,311.0,524.0,17.1,0,1.4810419,15.275395
681.0,3555.0,190.0,1115.0,1088,2501,1483,3283,3787.0,8448.0,1121.0,2057.0,17.1,0,0.7238953,14.083653
885.0,4015.0,0.0,519.0,11,0,218,150,2787.0,5386.0,16654.0,22906.0,17.2,4,13.824477,14.650419
1165.0,7159.0,0.0,620.0,192,75,179,81,3859.0,6711.0,10242.0,20992.0,17.2,4,13.714566,14.630363
1507.0,5622.0,68.0,438.0,0,0,147,24,6597.0,12491.0,21777.0,40502.0,17.2,4,15.060829,15.077655
964010.0,1194460.0,621807.0,909461.0,3582,3062,998,691,2538210.0,2368340.0,1552430.0,1367840.0,17.2,3,7.56294,-7.130738
22472.0,60685.0,20263.0,40840.0,432,272,109,177,28230.0,37850.0,28137.0,32671.0,17.2,1,14.524497,7.3825245
5077.0,15820.0,1023.0,2955.0,8335,11563,8373,11980,17352.0,23093.0,1325.0,1463.0,17.2,2,-0.008647473,-3.2221694
375605.0,666438.0,433407.0,762129.0,951,1142,640,374,208710.0,247793.0,72785.0,81457.0,17.3,3,8.551627,-5.8453383
8339.0,12728.0,1941.0,3860.0,3176,4230,3851,5519,9811.0,14174.0,2747.0,3811.0,17.3,5,-3.476637,7.8165865
23895.0,49531.0,3549.0,8495.0,2262,2897,6159,7995,13544.0,18462.0,4766.0,6453.0,17.3,2,0.6300143,1.7691169
15459.0,38194.0,4648.0,9692.0,231,140,0,0,23676.0,32943.0,16832.0,28609.0,17.4,1,13.902288,9.748898
30551.0,58696.0,13842.0,27320.0,148,98,121,82,36920.0,46588.0,34143.0,35973.0,17.5,1,14.919615,7.2278666
21943.0,51246.0,6165.0,13013.0,125,152,0,0,14811.0,19022.0,5790.0,14069.0,17.5,1,13.449958,9.564657
63760.0,134836.0,1076.0,5286.0,424,268,405,150,38990.0,50117.0,30022.0,44791.0,17.5,1,13.615502,3.6389387
15348.0,31059.0,1900.0,4576.0,5311,7515,6596,8600,16530.0,22615.0,1634.0,2811.0,17.6,2,-2.8254874,-0.25954688
2953.0,12504.0,808.0,3249.0,2995,4742,3523,5625,9428.0,15224.0,1232.0,2875.0,17.7,5,-2.9272182,7.4892917
4287.0,18248.0,1670.0,4437.0,3828,5535,5249,7740,13987.0,20709.0,2592.0,5223.0,17.8,2,-3.8002307,2.863176
2265.0,7559.0,884.0,3146.0,424,1269,311,1552,797.0,4085.0,152.0,424.0,17.8,0,2.6867273,17.725094
8243.0,16467.0,2365.0,3456.0,877,1987,1627,2997,5511.0,10026.0,1570.0,1824.0,17.8,0,1.1459525,15.197082
7762.0,16596.0,1311.0,2982.0,2352,3244,3812,5114,8653.0,11796.0,2715.0,3468.0,18.1,5,-2.8132448,9.88165
7846.0,13260.0,3012.0,4735.0,1268,1447,3277,4226,9156.0,11653.0,2230.0,4151.0,18.2,0,-1.6583964,15.68182
96544.0,166168.0,11313.0,21986.0,276,392,191,109,160702.0,179931.0,76286.0,77793.0,18.2,3,11.832566,-2.8071787
28349.0,51563.0,5961.0,9943.0,490,208,0,42,34467.0,41222.0,31794.0,37403.0,18.3,1,14.417673,7.4540315
